nonhsat017939.2,9606.ensp00000284981
nonhsat017939.2,9606.ensp00000363512
nonhsat017939.2,9606.ensp00000266732
nonhsat017939.2,9606.ensp00000363524
nonhsat017939.2,9606.ensp00000370109
nonhsat017939.2,9606.ensp00000356379
nonhsat017939.2,9606.ensp00000300403
nonhsat017939.2,9606.ensp00000264638
nonhsat017939.2,9606.ensp00000306185
nonhsat017939.2,9606.ensp00000438483
nonhsat017939.2,9606.ensp00000340243
nonhsat017939.2,9606.ensp00000317891
nonhsat017939.2,9606.ensp00000253778
nonhsat017939.2,9606.ensp00000479153
nonhsat017939.2,9606.ensp00000296721
nonhsat017939.2,9606.ensp00000256442
nonhsat017939.2,9606.ensp00000261601
nonhsat017939.2,9606.ensp00000328352
nonhsat017939.2,9606.ensp00000264156
nonhsat017939.2,9606.ensp00000217456
nonhsat017939.2,9606.ensp00000353344
nonhsat017939.2,9606.ensp00000253462
nonhsat017939.2,9606.ensp00000343690
nonhsat017939.2,9606.ensp00000244763
nonhsat017939.2,9606.ensp00000355506
nonhsat017939.2,9606.ensp00000262460
nonhsat017939.2,9606.ensp00000240423
nonhsat017939.2,9606.ensp00000353770
nonhsat017939.2,9606.ensp00000368710
nonhsat017939.2,9606.ensp00000258772
nonhsat017939.2,9606.ensp00000000412
nonhsat017939.2,9606.ensp00000211998
nonhsat017939.2,9606.ensp00000364802
nonhsat017939.2,9606.ensp00000344635
nonhsat017939.2,9606.ensp00000263556
nonhsat017939.2,9606.ensp00000226253
nonhsat017939.2,9606.ensp00000453403
nonhsat017939.2,9606.ensp00000378356
nonhsat017939.2,9606.ensp00000349961
nonhsat017939.2,9606.ensp00000234091
nonhsat017939.2,9606.ensp00000361540
nonhsat017939.2,9606.ensp00000209728
nonhsat017939.2,9606.ensp00000433681
nonhsat017939.2,9606.ensp00000452786
nonhsat017939.2,9606.ensp00000315659
nonhsat017939.2,9606.ensp00000358064
nonhsat017939.2,9606.ensp00000369292
nonhsat017939.2,9606.ensp00000326759
nonhsat017939.2,9606.ensp00000342513
nonhsat017939.2,9606.ensp00000352584
nonhsat017939.2,9606.ensp00000392025
nonhsat017939.2,9606.ensp00000262738
nonhsat017939.2,9606.ensp00000361824
nonhsat017939.2,9606.ensp00000376436
nonhsat017939.2,9606.ensp00000282561
nonhsat017939.2,9606.ensp00000270861
nonhsat017939.2,9606.ensp00000359305
nonhsat017939.2,9606.ensp00000422431
nonhsat017939.2,9606.ensp00000363763
nonhsat017939.2,9606.ensp00000295006
nonhsat017939.2,9606.ensp00000375778
nonhsat017939.2,9606.ensp00000376272
nonhsat017939.2,9606.ensp00000478570
nonhsat017939.2,9606.ensp00000250092
nonhsat017939.2,9606.ensp00000418735
nonhsat017939.2,9606.ensp00000286371
